"Title","Artist","Rank","Chart Date","Imprint"
"Whoot, There It Is","95 South",6,"1993-07-31","Wrap"
"I Get Around","2Pac",14,"1993-07-31","Interscope"
"Whoot, There It Is","95 South",8,"1993-08-07","Wrap"
"I Get Around","2Pac",11,"1993-08-07","Interscope"
"I Get Around","2Pac",8,"1993-08-14","Interscope"
"Whoot, There It Is","95 South",13,"1993-08-14","Wrap"
"I Get Around","2Pac",8,"1993-08-21","Interscope"
"Whoot, There It Is","95 South",18,"1993-08-21","Wrap"
"I Get Around","2Pac",9,"1993-08-28","Interscope"
"Whoot, There It Is","95 South",20,"1993-08-28","Wrap"
"I Get Around","2Pac",10,"1993-09-04","Interscope"
"Whoot, There It Is","95 South",21,"1993-09-04","Wrap"
"I Get Around","2Pac",12,"1993-09-11","Interscope"
"Whoot, There It Is","95 South",26,"1993-09-11","Wrap"
"I Get Around","2Pac",13,"1993-09-18","Interscope"
"Whoot, There It Is","95 South",29,"1993-09-18","Wrap"
"I Get Around","2Pac",14,"1993-09-25","Interscope"
"I Get Around","2Pac",18,"1993-10-02","Interscope"
"I Get Around","2Pac",18,"1993-10-09","Interscope"
"I Get Around","2Pac",25,"1993-10-16","Interscope"
"I Get Around","2Pac",23,"1993-10-23","Interscope"
"I Get Around","2Pac",27,"1993-10-30","Interscope"
"I Get Around","2Pac",26,"1993-11-06","Interscope"
"Award Tour","A Tribe Called Quest",27,"1993-11-13","Jive"
"I Get Around","2Pac",29,"1993-11-13","Interscope"
"Award Tour","A Tribe Called Quest",16,"1993-11-20","Jive"
"Keep Ya Head Up","2Pac",23,"1993-11-20","Interscope"
"Award Tour","A Tribe Called Quest",13,"1993-11-27","Jive"
"Keep Ya Head Up","2Pac",15,"1993-11-27","Interscope"
"Keep Ya Head Up","2Pac",2,"1993-12-04","Interscope"
"Award Tour","A Tribe Called Quest",7,"1993-12-04","Jive"
"I Get Around","2Pac",14,"1993-12-04","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",23,"1993-12-04","Street Life"
"Hump Wit' It","95 South",33,"1993-12-04","Wrap"
"Whoot, There It Is","95 South",34,"1993-12-04","Wrap"
"Keep Ya Head Up","2Pac",2,"1993-12-11","Interscope"
"Award Tour","A Tribe Called Quest",9,"1993-12-11","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",15,"1993-12-11","Street Life"
"I Get Around","2Pac",17,"1993-12-11","Interscope"
"Hump Wit' It","95 South",30,"1993-12-11","Wrap"
"Whoot, There It Is","95 South",31,"1993-12-11","Wrap"
"Keep Ya Head Up","2Pac",2,"1993-12-18","Interscope"
"Award Tour","A Tribe Called Quest",10,"1993-12-18","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",14,"1993-12-18","Street Life"
"I Get Around","2Pac",20,"1993-12-18","Interscope"
"Whoot, There It Is","95 South",30,"1993-12-18","Wrap"
"Hump Wit' It","95 South",31,"1993-12-18","Wrap"
"Keep Ya Head Up","2Pac",3,"1993-12-25","Interscope"
"Award Tour","A Tribe Called Quest",9,"1993-12-25","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",12,"1993-12-25","Street Life"
"I Get Around","2Pac",21,"1993-12-25","Interscope"
"Whoot, There It Is","95 South",31,"1993-12-25","Wrap"
"Hump Wit' It","95 South",32,"1993-12-25","Wrap"
"Keep Ya Head Up","2Pac",3,"1994-01-01","Interscope"
"Award Tour","A Tribe Called Quest",10,"1994-01-01","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",11,"1994-01-01","Street Life"
"I Get Around","2Pac",19,"1994-01-01","Interscope"
"Hump Wit' It","95 South",30,"1994-01-01","Wrap"
"Whoot, There It Is","95 South",31,"1994-01-01","Wrap"
"Keep Ya Head Up","2Pac",3,"1994-01-08","Interscope"
"Award Tour","A Tribe Called Quest",9,"1994-01-08","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",10,"1994-01-08","Street Life"
"I Get Around","2Pac",18,"1994-01-08","Interscope"
"Hump Wit' It","95 South",28,"1994-01-08","Wrap"
"Whoot, There It Is","95 South",30,"1994-01-08","Wrap"
"Keep Ya Head Up","2Pac",2,"1994-01-15","Interscope"
"Award Tour","A Tribe Called Quest",8,"1994-01-15","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",9,"1994-01-15","Street Life"
"I Get Around","2Pac",20,"1994-01-15","Interscope"
"Hump Wit' It","95 South",28,"1994-01-15","Wrap"
"Whoot, There It Is","95 South",31,"1994-01-15","Wrap"
"Keep Ya Head Up","2Pac",3,"1994-01-22","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",5,"1994-01-22","Street Life"
"Award Tour","A Tribe Called Quest",9,"1994-01-22","Jive"
"I Get Around","2Pac",30,"1994-01-22","Interscope"
"Hump Wit' It","95 South",36,"1994-01-22","Wrap"
"Whoot, There It Is","95 South",39,"1994-01-22","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-01-29","Street Life"
"Keep Ya Head Up","2Pac",5,"1994-01-29","Interscope"
"Award Tour","A Tribe Called Quest",9,"1994-01-29","Jive"
"Hump Wit' It","95 South",28,"1994-01-29","Wrap"
"I Get Around","2Pac",34,"1994-01-29","Interscope"
"Whoot, There It Is","95 South",44,"1994-01-29","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",3,"1994-02-05","Street Life"
"Keep Ya Head Up","2Pac",5,"1994-02-05","Interscope"
"Award Tour","A Tribe Called Quest",12,"1994-02-05","Jive"
"Hump Wit' It","95 South",32,"1994-02-05","Wrap"
"I Get Around","2Pac",38,"1994-02-05","Interscope"
"Whoot, There It Is","95 South",46,"1994-02-05","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",3,"1994-02-12","Street Life"
"Keep Ya Head Up","2Pac",7,"1994-02-12","Interscope"
"Award Tour","A Tribe Called Quest",14,"1994-02-12","Jive"
"Hump Wit' It","95 South",41,"1994-02-12","Wrap"
"I Get Around","2Pac",48,"1994-02-12","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-02-19","Street Life"
"Keep Ya Head Up","2Pac",11,"1994-02-19","Interscope"
"Award Tour","A Tribe Called Quest",14,"1994-02-19","Jive"
"Hump Wit' It","95 South",43,"1994-02-19","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",5,"1994-02-26","Street Life"
"Keep Ya Head Up","2Pac",13,"1994-02-26","Interscope"
"Award Tour","A Tribe Called Quest",19,"1994-02-26","Jive"
"Hump Wit' It","95 South",37,"1994-02-26","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-03-05","Street Life"
"Keep Ya Head Up","2Pac",15,"1994-03-05","Interscope"
"Award Tour","A Tribe Called Quest",17,"1994-03-05","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-03-12","Street Life"
"Keep Ya Head Up","2Pac",19,"1994-03-12","Interscope"
"Award Tour","A Tribe Called Quest",21,"1994-03-12","Jive"
"Hump Wit' It","95 South",46,"1994-03-12","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-03-19","Street Life"
"Electric Relaxation","A Tribe Called Quest",13,"1994-03-19","Jive"
"Keep Ya Head Up","2Pac",28,"1994-03-19","Interscope"
"Award Tour","A Tribe Called Quest",31,"1994-03-19","Jive"
"Do The Booty Hop","95 South",50,"1994-03-19","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-03-26","Street Life"
"Electric Relaxation","A Tribe Called Quest",13,"1994-03-26","Jive"
"Keep Ya Head Up","2Pac",32,"1994-03-26","Interscope"
"Award Tour","A Tribe Called Quest",34,"1994-03-26","Jive"
"Do The Booty Hop","95 South",43,"1994-03-26","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-04-02","Street Life"
"Electric Relaxation","A Tribe Called Quest",13,"1994-04-02","Jive"
"Papa'z Song","2Pac Duet With Mopreme",29,"1994-04-02","Interscope"
"Keep Ya Head Up","2Pac",35,"1994-04-02","Interscope"
"Award Tour","A Tribe Called Quest",36,"1994-04-02","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-04-09","Street Life"
"Electric Relaxation","A Tribe Called Quest",16,"1994-04-09","Jive"
"Papa'z Song","2Pac Duet With Mopreme",24,"1994-04-09","Interscope"
"Keep Ya Head Up","2Pac",36,"1994-04-09","Interscope"
"Award Tour","A Tribe Called Quest",44,"1994-04-09","Jive"
"Do The Booty Hop","95 South",49,"1994-04-09","Wrap"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-04-16","Street Life"
"Electric Relaxation","A Tribe Called Quest",16,"1994-04-16","Jive"
"Papa'z Song","2Pac Duet With Mopreme",28,"1994-04-16","Interscope"
"Keep Ya Head Up","2Pac",39,"1994-04-16","Interscope"
"Award Tour","A Tribe Called Quest",49,"1994-04-16","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-04-23","Street Life"
"Electric Relaxation","A Tribe Called Quest",18,"1994-04-23","Jive"
"Papa'z Song","2Pac Duet With Mopreme",30,"1994-04-23","Interscope"
"Keep Ya Head Up","2Pac",39,"1994-04-23","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",3,"1994-04-30","Street Life"
"Electric Relaxation","A Tribe Called Quest",22,"1994-04-30","Jive"
"Papa'z Song","2Pac Duet With Mopreme",31,"1994-04-30","Interscope"
"Keep Ya Head Up","2Pac",46,"1994-04-30","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",4,"1994-05-07","Street Life"
"Electric Relaxation","A Tribe Called Quest",21,"1994-05-07","Jive"
"Papa'z Song","2Pac Duet With Mopreme",28,"1994-05-07","Interscope"
"Back In The Day","Ahmad",38,"1994-05-07","Giant"
"Keep Ya Head Up","2Pac",48,"1994-05-07","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",6,"1994-05-14","Street Life"
"Back In The Day","Ahmad",17,"1994-05-14","Giant"
"Electric Relaxation","A Tribe Called Quest",22,"1994-05-14","Jive"
"Papa'z Song","2Pac Duet With Mopreme",33,"1994-05-14","Interscope"
"Do The Booty Hop","95 South",48,"1994-05-14","Wrap"
"Keep Ya Head Up","2Pac",49,"1994-05-14","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",6,"1994-05-21","Street Life"
"Back In The Day","Ahmad",18,"1994-05-21","Giant"
"Electric Relaxation","A Tribe Called Quest",24,"1994-05-21","Jive"
"Papa'z Song","2Pac Duet With Mopreme",42,"1994-05-21","Interscope"
"Dunkie Butt (Please Please Please)","12 Gauge",6,"1994-05-28","Street Life"
"Ease My Mind","Arrested Development",13,"1994-05-28","Chrysalis"
"Back In The Day","Ahmad",17,"1994-05-28","Giant"
"Electric Relaxation","A Tribe Called Quest",33,"1994-05-28","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",7,"1994-06-04","Street Life"
"Ease My Mind","Arrested Development",10,"1994-06-04","Chrysalis"
"Back In The Day","Ahmad",12,"1994-06-04","Giant"
"Tootsee Roll","69 Boyz",27,"1994-06-04","Rip-It"
"Electric Relaxation","A Tribe Called Quest",35,"1994-06-04","Jive"
"Parlayin'","Ant Banks",44,"1994-06-04","Jive"
"Dunkie Butt (Please Please Please)","12 Gauge",9,"1994-06-11","Street Life"
"Back In The Day","Ahmad",10,"1994-06-11","Giant"
"Ease My Mind","Arrested Development",12,"1994-06-11","Chrysalis"
"Tootsee Roll","69 Boyz",17,"1994-06-11","Rip-It"
"Electric Relaxation","A Tribe Called Quest",40,"1994-06-11","Jive"
"Parlayin'","Ant Banks",47,"1994-06-11","Jive"
"Tootsee Roll","69 Boyz",8,"1994-06-18","Rip-It"
"Back In The Day","Ahmad",9,"1994-06-18","Giant"
"Dunkie Butt (Please Please Please)","12 Gauge",11,"1994-06-18","Street Life"
"Ease My Mind","Arrested Development",12,"1994-06-18","Chrysalis"
"Oh My God","A Tribe Called Quest",23,"1994-06-18","Jive"
"Electric Relaxation","A Tribe Called Quest",44,"1994-06-18","Jive"
"Butt Booty Naked","AMG",50,"1994-06-18","Select Street"
"Back In The Day","Ahmad",3,"1994-06-25","Giant"
"Ease My Mind","Arrested Development",4,"1994-06-25","Chrysalis"
"Tootsee Roll","69 Boyz",12,"1994-06-25","Rip-It"
"Dunkie Butt (Please Please Please)","12 Gauge",13,"1994-06-25","Street Life"
"Oh My God","A Tribe Called Quest",15,"1994-06-25","Jive"
"Electric Relaxation","A Tribe Called Quest",45,"1994-06-25","Jive"
"Butt Booty Naked","AMG",50,"1994-06-25","Select Street"
"Back In The Day","Ahmad",4,"1994-07-02","Giant"
"Ease My Mind","Arrested Development",8,"1994-07-02","Chrysalis"
"Tootsee Roll","69 Boyz",9,"1994-07-02","Rip-It"
"Dunkie Butt (Please Please Please)","12 Gauge",15,"1994-07-02","Street Life"
"Oh My God","A Tribe Called Quest",23,"1994-07-02","Jive"
"Back In The Day","Ahmad",4,"1994-07-09","Giant"
"Tootsee Roll","69 Boyz",6,"1994-07-09","Rip-It"
"Ease My Mind","Arrested Development",10,"1994-07-09","Chrysalis"
"Dunkie Butt (Please Please Please)","12 Gauge",19,"1994-07-09","Street Life"
"Oh My God","A Tribe Called Quest",22,"1994-07-09","Jive"
"Butt Booty Naked","AMG",50,"1994-07-09","Select Street"
"Back In The Day","Ahmad",4,"1994-07-16","Giant"
"Tootsee Roll","69 Boyz",5,"1994-07-16","Rip-It"
"Ease My Mind","Arrested Development",16,"1994-07-16","Chrysalis"
"Dunkie Butt (Please Please Please)","12 Gauge",23,"1994-07-16","Street Life"
"Oh My God","A Tribe Called Quest",30,"1994-07-16","Jive"
"Butt Booty Naked","AMG",48,"1994-07-16","Select Street"
"Tootsee Roll","69 Boyz",4,"1994-07-23","Rip-It"
"Back In The Day","Ahmad",5,"1994-07-23","Giant"
"Dunkie Butt (Please Please Please)","12 Gauge",19,"1994-07-23","Street Life"
"Ease My Mind","Arrested Development",23,"1994-07-23","Chrysalis"
"Oh My God","A Tribe Called Quest",28,"1994-07-23","Jive"
"Black Superman","Above The Law",48,"1994-07-23","Ruthless"
"Tootsee Roll","69 Boyz",4,"1994-07-30","Rip-It"
"Back In The Day","Ahmad",6,"1994-07-30","Giant"
"Dunkie Butt (Please Please Please)","12 Gauge",23,"1994-07-30","Street Life"
"Oh My God","A Tribe Called Quest",28,"1994-07-30","Jive"
"Ease My Mind","Arrested Development",29,"1994-07-30","Chrysalis"
"Wrong Side Of Da Tracks","Artifacts",46,"1994-07-30","Big Beat"
"Tootsee Roll","69 Boyz",3,"1994-08-06","Rip-It"
"Back In The Day","Ahmad",5,"1994-08-06","Giant"
"Dunkie Butt (Please Please Please)","12 Gauge",23,"1994-08-06","Street Life"
"Oh My God","A Tribe Called Quest",37,"1994-08-06","Jive"
"Ease My Mind","Arrested Development",41,"1994-08-06","Chrysalis"
"Wrong Side Of Da Tracks","Artifacts",45,"1994-08-06","Big Beat"
"Tootsee Roll","69 Boyz",2,"1994-08-13","Rip-It"
"Back In The Day","Ahmad",4,"1994-08-13","Giant"
"Dunkie Butt (Please Please Please)","12 Gauge",25,"1994-08-13","Street Life"
"Wrong Side Of Da Tracks","Artifacts",36,"1994-08-13","Big Beat"
"Oh My God","A Tribe Called Quest",37,"1994-08-13","Jive"
"Black Superman","Above The Law",47,"1994-08-13","Ruthless"
"Ease My Mind","Arrested Development",50,"1994-08-13","Chrysalis"
"Tootsee Roll","69 Boyz",2,"1994-08-20","Rip-It"
"Back In The Day","Ahmad",6,"1994-08-20","Giant"
"Wrong Side Of Da Tracks","Artifacts",26,"1994-08-20","Big Beat"
"Dunkie Butt (Please Please Please)","12 Gauge",34,"1994-08-20","Street Life"
"Oh My God","A Tribe Called Quest",37,"1994-08-20","Jive"
"Black Superman","Above The Law",42,"1994-08-20","Ruthless"
"Tootsee Roll","69 Boyz",2,"1994-08-27","Rip-It"
"Back In The Day","Ahmad",7,"1994-08-27","Giant"
"Wrong Side Of Da Tracks","Artifacts",27,"1994-08-27","Big Beat"
"Dunkie Butt (Please Please Please)","12 Gauge",35,"1994-08-27","Street Life"
"Oh My God","A Tribe Called Quest",38,"1994-08-27","Jive"
"Black Superman","Above The Law",42,"1994-08-27","Ruthless"
"United Front","Arrested Development",49,"1994-08-27","Chrysalis"
"Tootsee Roll","69 Boyz",1,"1994-09-03","Rip-It"
"Back In The Day","Ahmad",7,"1994-09-03","Giant"
"Black Superman","Above The Law",30,"1994-09-03","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",31,"1994-09-03","Big Beat"
"Dunkie Butt (Please Please Please)","12 Gauge",43,"1994-09-03","Street Life"
"Oh My God","A Tribe Called Quest",49,"1994-09-03","Jive"
"Tootsee Roll","69 Boyz",2,"1994-09-10","Rip-It"
"Back In The Day","Ahmad",8,"1994-09-10","Giant"
"Black Superman","Above The Law",27,"1994-09-10","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",31,"1994-09-10","Big Beat"
"Dunkie Butt (Please Please Please)","12 Gauge",44,"1994-09-10","Street Life"
"Tootsee Roll","69 Boyz",2,"1994-09-17","Rip-It"
"Back In The Day","Ahmad",14,"1994-09-17","Giant"
"Black Superman","Above The Law",27,"1994-09-17","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",31,"1994-09-17","Big Beat"
"Dunkie Butt (Please Please Please)","12 Gauge",46,"1994-09-17","Street Life"
"Tootsee Roll","69 Boyz",2,"1994-09-24","Rip-It"
"Back In The Day","Ahmad",13,"1994-09-24","Giant"
"Black Superman","Above The Law",26,"1994-09-24","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",33,"1994-09-24","Big Beat"
"Tootsee Roll","69 Boyz",2,"1994-10-01","Rip-It"
"Back In The Day","Ahmad",18,"1994-10-01","Giant"
"Black Superman","Above The Law",29,"1994-10-01","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",34,"1994-10-01","Big Beat"
"Tootsee Roll","69 Boyz",1,"1994-10-08","Rip-It"
"Back In The Day","Ahmad",23,"1994-10-08","Giant"
"Black Superman","Above The Law",26,"1994-10-08","Ruthless"
"Wrong Side Of Da Tracks","Artifacts",42,"1994-10-08","Big Beat"
"Tootsee Roll","69 Boyz",2,"1994-10-15","Rip-It"
"Black Superman","Above The Law",24,"1994-10-15","Ruthless"
"Back In The Day","Ahmad",26,"1994-10-15","Giant"
"Wrong Side Of Da Tracks","Artifacts",42,"1994-10-15","Big Beat"
"Tootsee Roll","69 Boyz",2,"1994-10-22","Rip-It"
"Black Superman","Above The Law",25,"1994-10-22","Ruthless"
"Back In The Day","Ahmad",30,"1994-10-22","Giant"
"Wrong Side Of Da Tracks","Artifacts",47,"1994-10-22","Big Beat"
"Tootsee Roll","69 Boyz",2,"1994-10-29","Rip-It"
"Black Superman","Above The Law",26,"1994-10-29","Ruthless"
"Back In The Day","Ahmad",38,"1994-10-29","Giant"
"Tootsee Roll","69 Boyz",3,"1994-11-05","Rip-It"
"Black Superman","Above The Law",27,"1994-11-05","Ruthless"
"Back In The Day","Ahmad",39,"1994-11-05","Giant"
"Tootsee Roll","69 Boyz",2,"1994-11-12","Rip-It"
"Black Superman","Above The Law",26,"1994-11-12","Ruthless"
"Back In The Day","Ahmad",47,"1994-11-12","Giant"
"Tootsee Roll","69 Boyz",2,"1994-11-19","Rip-It"
"Kitty Kitty","69 Boyz",30,"1994-11-19","Rip-It"
"Black Superman","Above The Law",33,"1994-11-19","Ruthless"
"Tootsee Roll","69 Boyz",2,"1994-11-26","Rip-It"
"Kitty Kitty","69 Boyz",25,"1994-11-26","Rip-It"
"Black Superman","Above The Law",32,"1994-11-26","Ruthless"
"Tootsee Roll","69 Boyz",2,"1994-12-03","Rip-It"
"Kitty Kitty","69 Boyz",22,"1994-12-03","Rip-It"
"Black Superman","Above The Law",31,"1994-12-03","Ruthless"
"Tootsee Roll","69 Boyz",2,"1994-12-10","Rip-It"
"Kitty Kitty","69 Boyz",19,"1994-12-10","Rip-It"
"Black Superman","Above The Law",28,"1994-12-10","Ruthless"
"Tootsee Roll","69 Boyz",2,"1994-12-17","Rip-It"
"Kitty Kitty","69 Boyz",9,"1994-12-17","Rip-It"
"Black Superman","Above The Law",32,"1994-12-17","Ruthless"
"Tootsee Roll","69 Boyz",1,"1994-12-24","Rip-It"
"Kitty Kitty","69 Boyz",9,"1994-12-24","Rip-It"
"Black Superman","Above The Law",45,"1994-12-24","Ruthless"
"Tootsee Roll","69 Boyz",1,"1994-12-31","Rip-It"
"Kitty Kitty","69 Boyz",9,"1994-12-31","Rip-It"
"Black Superman","Above The Law",50,"1994-12-31","Ruthless"
"Tootsee Roll","69 Boyz",1,"1995-01-07","Rip-It"
"Kitty Kitty","69 Boyz",9,"1995-01-07","Rip-It"
"Black Superman","Above The Law",40,"1995-01-07","Ruthless"
"Tootsee Roll","69 Boyz",1,"1995-01-14","Rip-It"
"Kitty Kitty","69 Boyz",8,"1995-01-14","Rip-It"
"Black Superman","Above The Law",41,"1995-01-14","Ruthless"
"Tootsee Roll","69 Boyz",1,"1995-01-21","Rip-It"
"Kitty Kitty","69 Boyz",9,"1995-01-21","Rip-It"
"Rodeo","95 South",24,"1995-01-21","Rip-It"
"Black Superman","Above The Law",38,"1995-01-21","Ruthless"
"Tootsee Roll","69 Boyz",3,"1995-01-28","Rip-It"
"Kitty Kitty","69 Boyz",9,"1995-01-28","Rip-It"
"Rodeo","95 South",17,"1995-01-28","Rip-It"
"Black Superman","Above The Law",38,"1995-01-28","Ruthless"
"Tootsee Roll","69 Boyz",4,"1995-02-04","Rip-It"
"Kitty Kitty","69 Boyz",6,"1995-02-04","Rip-It"
"Rodeo","95 South",16,"1995-02-04","Rip-It"
"Black Superman","Above The Law",42,"1995-02-04","Ruthless"
"Tootsee Roll","69 Boyz",5,"1995-02-11","Rip-It"
"Kitty Kitty","69 Boyz",7,"1995-02-11","Rip-It"
"Rodeo","95 South",20,"1995-02-11","Rip-It"
"Black Superman","Above The Law",44,"1995-02-11","Ruthless"
"Tootsee Roll","69 Boyz",5,"1995-02-18","Rip-It"
"Kitty Kitty","69 Boyz",6,"1995-02-18","Rip-It"
"Rodeo","95 South",12,"1995-02-18","Rip-It"
"Black Superman","Above The Law",47,"1995-02-18","Ruthless"
"Tootsee Roll","69 Boyz",8,"1995-02-25","Rip-It"
"Kitty Kitty","69 Boyz",13,"1995-02-25","Rip-It"
"Rodeo","95 South",18,"1995-02-25","Rip-It"
"Tootsee Roll","69 Boyz",10,"1995-03-04","Rip-It"
"Kitty Kitty","69 Boyz",11,"1995-03-04","Rip-It"
"Rodeo","95 South",18,"1995-03-04","Rip-It"
"Dear Mama/Old School","2Pac",36,"1995-03-04","Interscope"
"Dear Mama/Old School","2Pac",1,"1995-03-11","Interscope"
"Tootsee Roll","69 Boyz",13,"1995-03-11","Rip-It"
"Kitty Kitty","69 Boyz",14,"1995-03-11","Rip-It"
"Rodeo","95 South",19,"1995-03-11","Rip-It"
"Dear Mama/Old School","2Pac",2,"1995-03-18","Interscope"
"Kitty Kitty","69 Boyz",13,"1995-03-18","Rip-It"
"Tootsee Roll","69 Boyz",15,"1995-03-18","Rip-It"
"Rodeo","95 South",19,"1995-03-18","Rip-It"
"Dear Mama/Old School","2Pac",1,"1995-03-25","Interscope"
"Tootsee Roll","69 Boyz",16,"1995-03-25","Rip-It"
"Kitty Kitty","69 Boyz",17,"1995-03-25","Rip-It"
"Rodeo","95 South",18,"1995-03-25","Rip-It"
"Dear Mama/Old School","2Pac",3,"1995-04-01","Interscope"
