"Title","Artist","Rank","Chart Date","Imprint"
"If You Want It","2nd II None",14,"1992-05-30","Profile"
"Brenda's Got A Baby/If My Homie Calls","2Pac",24,"1992-05-30","Interscope"
"Tennessee","Arrested Development",2,"1992-06-06","Chrysalis"
"Scenario","A Tribe Called Quest",7,"1992-06-06","Jive"
"If You Want It","2nd II None",15,"1992-06-06","Profile"
"Brenda's Got A Baby/If My Homie Calls","2Pac",25,"1992-06-06","Interscope"
"Tennessee","Arrested Development",3,"1992-06-13","Chrysalis"
"Scenario","A Tribe Called Quest",9,"1992-06-13","Jive"
"If You Want It","2nd II None",15,"1992-06-13","Profile"
"Brenda's Got A Baby/If My Homie Calls","2Pac",29,"1992-06-13","Interscope"
"Tennessee","Arrested Development",6,"1992-06-20","Chrysalis"
"Scenario","A Tribe Called Quest",10,"1992-06-20","Jive"
"If You Want It","2nd II None",22,"1992-06-20","Profile"
"Tennessee","Arrested Development",8,"1992-06-27","Chrysalis"
"Scenario","A Tribe Called Quest",11,"1992-06-27","Jive"
"If You Want It","2nd II None",27,"1992-06-27","Profile"
"Tennessee","Arrested Development",8,"1992-07-04","Chrysalis"
"Scenario","A Tribe Called Quest",11,"1992-07-04","Jive"
"Tennessee","Arrested Development",7,"1992-07-11","Chrysalis"
"Scenario","A Tribe Called Quest",14,"1992-07-11","Jive"
"Tennessee","Arrested Development",11,"1992-07-18","Chrysalis"
"Scenario","A Tribe Called Quest",21,"1992-07-18","Jive"
"Tennessee","Arrested Development",15,"1992-07-25","Chrysalis"
"Scenario","A Tribe Called Quest",27,"1992-07-25","Jive"
"Tennessee","Arrested Development",26,"1992-08-01","Chrysalis"
"Let It All Hang Out","A.D.O.R.",23,"1992-08-08","Atlantic"
"Let It All Hang Out","A.D.O.R.",21,"1992-08-15","Atlantic"
"Let It All Hang Out","A.D.O.R.",16,"1992-08-22","Atlantic"
"People Everyday","Arrested Development",12,"1992-08-29","Chrysalis"
"Let It All Hang Out","A.D.O.R.",13,"1992-08-29","Atlantic"
"People Everyday","Arrested Development",3,"1992-09-05","Chrysalis"
"Let It All Hang Out","A.D.O.R.",11,"1992-09-05","Atlantic"
"People Everyday","Arrested Development",2,"1992-09-12","Chrysalis"
"Let It All Hang Out","A.D.O.R.",9,"1992-09-12","Atlantic"
"People Everyday","Arrested Development",1,"1992-09-19","Chrysalis"
"Let It All Hang Out","A.D.O.R.",9,"1992-09-19","Atlantic"
"People Everyday","Arrested Development",1,"1992-09-26","Chrysalis"
"Let It All Hang Out","A.D.O.R.",15,"1992-09-26","Atlantic"
"People Everyday","Arrested Development",1,"1992-10-03","Chrysalis"
"Let It All Hang Out","A.D.O.R.",25,"1992-10-03","Atlantic"
"People Everyday","Arrested Development",2,"1992-10-10","Chrysalis"
"People Everyday","Arrested Development",5,"1992-10-17","Chrysalis"
"People Everyday","Arrested Development",8,"1992-10-24","Chrysalis"
"People Everyday","Arrested Development",8,"1992-10-31","Chrysalis"
"People Everyday","Arrested Development",11,"1992-11-07","Chrysalis"
"People Everyday","Arrested Development",21,"1992-11-14","Chrysalis"
"People Everyday","Arrested Development",20,"1992-11-21","Chrysalis"
"People Everyday","Arrested Development",22,"1992-11-28","Chrysalis"
"People Everyday","Arrested Development",22,"1992-12-05","Chrysalis"
"People Everyday","Arrested Development",28,"1992-12-12","Chrysalis"
"Revolution","Arrested Development",26,"1992-12-19","Chrysalis"
"Revolution","Arrested Development",24,"1992-12-26","Chrysalis"
"Revolution","Arrested Development",24,"1993-01-02","Chrysalis"
"Revolution","Arrested Development",20,"1993-01-09","Chrysalis"
"Gangsta Bitch","Apache",26,"1993-01-09","Tommy Boy"
"Gangsta Bitch","Apache",19,"1993-01-16","Tommy Boy"
"Revolution","Arrested Development",29,"1993-01-16","Chrysalis"
"Mr. Wendal","Arrested Development",30,"1993-01-16","Chrysalis"
"Mr. Wendal","Arrested Development",13,"1993-01-23","Chrysalis"
"Gangsta Bitch","Apache",17,"1993-01-23","Tommy Boy"
"Mr. Wendal","Arrested Development",11,"1993-01-30","Chrysalis"
"Gangsta Bitch","Apache",14,"1993-01-30","Tommy Boy"
"Mr. Wendal","Arrested Development",8,"1993-02-06","Chrysalis"
"Gangsta Bitch","Apache",11,"1993-02-06","Tommy Boy"
"Mr. Wendal","Arrested Development",4,"1993-02-13","Chrysalis"
"Gangsta Bitch","Apache",11,"1993-02-13","Tommy Boy"
"Mr. Wendal","Arrested Development",4,"1993-02-20","Chrysalis"
"Gangsta Bitch","Apache",11,"1993-02-20","Tommy Boy"
"Mr. Wendal","Arrested Development",4,"1993-02-27","Chrysalis"
"Gangsta Bitch","Apache",12,"1993-02-27","Tommy Boy"
"V.S.O.P","Above The Law",25,"1993-02-27","Ruthless"
"Mr. Wendal","Arrested Development",8,"1993-03-06","Chrysalis"
"Gangsta Bitch","Apache",13,"1993-03-06","Tommy Boy"
"V.S.O.P","Above The Law",19,"1993-03-06","Ruthless"
"Mr. Wendal","Arrested Development",11,"1993-03-13","Chrysalis"
"V.S.O.P","Above The Law",16,"1993-03-13","Ruthless"
"Gangsta Bitch","Apache",17,"1993-03-13","Tommy Boy"
"V.S.O.P","Above The Law",12,"1993-03-20","Ruthless"
"Mr. Wendal","Arrested Development",20,"1993-03-20","Chrysalis"
"Gangsta Bitch","Apache",25,"1993-03-20","Tommy Boy"
"V.S.O.P","Above The Law",9,"1993-03-27","Ruthless"
"Gangsta Bitch","Apache",28,"1993-03-27","Tommy Boy"
"V.S.O.P","Above The Law",9,"1993-04-03","Ruthless"
"V.S.O.P","Above The Law",16,"1993-04-10","Ruthless"
"V.S.O.P","Above The Law",24,"1993-04-17","Ruthless"
"Whoot, There It Is","95 South",22,"1993-05-22","Wrap"
"Whoot, There It Is","95 South",20,"1993-05-29","Wrap"
"Whoot, There It Is","95 South",16,"1993-06-05","Wrap"
"Whoot, There It Is","95 South",11,"1993-06-12","Wrap"
"Whoot, There It Is","95 South",10,"1993-06-19","Wrap"
"Whoot, There It Is","95 South",8,"1993-06-26","Wrap"
"Whoot, There It Is","95 South",5,"1993-07-03","Wrap"
"Whoot, There It Is","95 South",4,"1993-07-10","Wrap"
"Whoot, There It Is","95 South",3,"1993-07-17","Wrap"
"I Get Around","2Pac",24,"1993-07-17","Interscope"
"Whoot, There It Is","95 South",3,"1993-07-24","Wrap"
"I Get Around","2Pac",17,"1993-07-24","Interscope"
